Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
1.312500000000e-02,4.194651553365e+02,2.687419729094e-02,2.353847165981e-03,9.427421184400e-04,2.174523326491e-01,8.671517068293e-03,7.435541364568e-01,1.649999997765e+03
1.313750000000e-02,4.224262218534e+02,2.679830544441e-02,2.436034531376e-03,9.683221167166e-04,2.172200183808e-01,8.871744862433e-03,7.435503760998e-01,1.749474876868e+03
1.315000000000e-02,4.254456024107e+02,2.672093874705e-02,2.520667205956e-03,9.944770537625e-04,2.169824384522e-01,9.075406816734e-03,7.435467970507e-01,1.854987391534e+03
1.315625000000e-02,4.269774187924e+02,2.668169591014e-02,2.563921211239e-03,1.007773377796e-03,2.168616437819e-01,9.178534486509e-03,7.435450783965e-01,1.910147248596e+03
1.316250000000e-02,4.285240995534e+02,2.664207667388e-02,2.607811320796e-03,1.021217336219e-03,2.167394966669e-01,9.282531245517e-03,7.435434085951e-01,1.966972815800e+03
1.317500000000e-02,4.316621110591e+02,2.656170572624e-02,2.697516543878e-03,1.048550348755e-03,2.164911255659e-01,9.493130574198e-03,7.435402203153e-01,2.085791848388e+03
1.318750000000e-02,4.348599473162e+02,2.647981728787e-02,2.789822405688e-03,1.076481433027e-03,2.162372768592e-01,9.707206045236e-03,7.435372415233e-01,2.211896270624e+03
1.320000000000e-02,4.381180794155e+02,2.639639770736e-02,2.884780930246e-03,1.105018149803e-03,2.159778813421e-01,9.924769430378e-03,7.435344817354e-01,2.345762119726e+03
1.321250000000e-02,4.414369627804e+02,2.631143359552e-02,2.982444346248e-03,1.134167993696e-03,2.157128704391e-01,1.014583143282e-02,7.435319505052e-01,2.487901631472e+03
1.322500000000e-02,4.448170369340e+02,2.622491182920e-02,3.082865066299e-03,1.163938390025e-03,2.154421762328e-01,1.037040169322e-02,7.435296574104e-01,2.638865909338e+03
1.323750000000e-02,4.482587252971e+02,2.613681955463e-02,3.186095666356e-03,1.194336691830e-03,2.151657314896e-01,1.059848879737e-02,7.435276120401e-01,2.799248178343e+03
1.325000000000e-02,4.517624350165e+02,2.604714419025e-02,3.292188865461e-03,1.225370177027e-03,2.148834696858e-01,1.083010028564e-02,7.435258239807e-01,2.969687445693e+03
1.326250000000e-02,4.553285568235e+02,2.595587342916e-02,3.401197505771e-03,1.257046045723e-03,2.145953250311e-01,1.106524266391e-02,7.435243028026e-01,3.150872543085e+03
1.327500000000e-02,4.589574649233e+02,2.586299524101e-02,3.513174532943e-03,1.289371417682e-03,2.143012324910e-01,1.130392141611e-02,7.435230580465e-01,3.343546564587e+03
1.328750000000e-02,4.626495169152e+02,2.576849787359e-02,3.628172976902e-03,1.322353329939e-03,2.140011278077e-01,1.154614101814e-02,7.435220992092e-01,3.548511726761e+03
1.330000000000e-02,4.664050537424e+02,2.567236985381e-02,3.746245933019e-03,1.355998734580e-03,2.136949475199e-01,1.179190495321e-02,7.435214357303e-01,3.766634680101e+03
1.331250000000e-02,4.702243996725e+02,2.557459998843e-02,3.867446543740e-03,1.390314496667e-03,2.133826289799e-01,1.204121572844e-02,7.435210769776e-01,3.998852295731e+03
1.332500000000e-02,4.741078623077e+02,2.547517736427e-02,3.991827980681e-03,1.425307392319e-03,2.130641103713e-01,1.229407489269e-02,7.435210322340e-01,4.246177934850e+03
1.333750000000e-02,4.780557326230e+02,2.537409134806e-02,4.119443427216e-03,1.460984106956e-03,2.127393307231e-01,1.255048305543e-02,7.435213106831e-01,4.509708170445e+03
1.335000000000e-02,4.820682850344e+02,2.527133158591e-02,4.250346061590e-03,1.497351233676e-03,2.124082299238e-01,1.281043990673e-02,7.435219213961e-01,4.790629849328e+03
1.336250000000e-02,4.861457774937e+02,2.516688800242e-02,4.384589040552e-03,1.534415271798e-03,2.120707487337e-01,1.307394423806e-02,7.435228733175e-01,5.090227199941e+03
1.337500000000e-02,4.902884516105e+02,2.506075079793e-02,4.522225483272e-03,1.572182625438e-03,2.117268287830e-01,1.334099396325e-02,7.435241752069e-01,5.409887856584e+03
1.338125000000e-02,4.923844033884e+02,2.500704227321e-02,4.592338305292e-03,1.591332875837e-03,2.115524281415e-01,1.347585091690e-02,7.435249601264e-01,5.577803410865e+03
1.338750000000e-02,4.944968283609e+02,2.495290442061e-02,4.663326203415e-03,1.610662411233e-03,2.113763859146e-01,1.361159756247e-02,7.435258358801e-01,5.751336050758e+03
1.339375000000e-02,4.966257524761e+02,2.489833608191e-02,4.735195903597e-03,1.630172013768e-03,2.111986949715e-01,1.374823338938e-02,7.435268035205e-01,5.930699324616e+03
1.340000000000e-02,4.987712006729e+02,2.484333611619e-02,4.807954126540e-03,1.649862459305e-03,2.110193482395e-01,1.388575783562e-02,7.435278640885e-01,6.116114695933e+03
1.340625000000e-02,5.009331968891e+02,2.478790339981e-02,4.881607587242e-03,1.669734517408e-03,2.108383387041e-01,1.402417028850e-02,7.435290186132e-01,6.307812406721e+03
1.341250000000e-02,5.031117640676e+02,2.473203682632e-02,4.956162994567e-03,1.689788951309e-03,2.106556594090e-01,1.416347008546e-02,7.435302681114e-01,6.506032080003e+03
1.341875000000e-02,5.053069241643e+02,2.467573530635e-02,5.031627050824e-03,1.710026517896e-03,2.104713034566e-01,1.430365651481e-02,7.435316135873e-01,6.711023261972e+03
1.342500000000e-02,5.075186981562e+02,2.461899776753e-02,5.108006451350e-03,1.730447967687e-03,2.102852640079e-01,1.444472881656e-02,7.435330560320e-01,6.923045943268e+03
1.343125000000e-02,5.097471060490e+02,2.456182315441e-02,5.185307884108e-03,1.751054044812e-03,2.100975342828e-01,1.458668618317e-02,7.435345964233e-01,7.142371076323e+03
1.343750000000e-02,5.119921668863e+02,2.450421042837e-02,5.263538029293e-03,1.771845487001e-03,2.099081075600e-01,1.472952776039e-02,7.435362357252e-01,7.369281099017e+03
1.344375000000e-02,5.142538987576e+02,2.444615856751e-02,5.342703558948e-03,1.792823025567e-03,2.097169771772e-01,1.487325264802e-02,7.435379748874e-01,7.604070471600e+03
1.345000000000e-02,5.165323188083e+02,2.438766656654e-02,5.422811136583e-03,1.813987385394e-03,2.095241365315e-01,1.501785990076e-02,7.435398148452e-01,7.847046231926e+03
1.345625000000e-02,5.188274432484e+02,2.432873343669e-02,5.503867416818e-03,1.835339284925e-03,2.093295790788e-01,1.516334852898e-02,7.435417565191e-01,8.098528572993e+03
1.346250000000e-02,5.211392873624e+02,2.426935820559e-02,5.585879045020e-03,1.856879436157e-03,2.091332983344e-01,1.530971749953e-02,7.435438008142e-01,8.358851446136e+03
1.346875000000e-02,5.234678655193e+02,2.420953991718e-02,5.668852656958e-03,1.878608544631e-03,2.089352878727e-01,1.545696573655e-02,7.435459486203e-01,8.628363192908e+03
1.347500000000e-02,5.258131911826e+02,2.414927763158e-02,5.752794878465e-03,1.900527309425e-03,2.087355413275e-01,1.560509212232e-02,7.435482008110e-01,8.907427208634e+03
1.348125000000e-02,5.281752769211e+02,2.408857042497e-02,5.837712325111e-03,1.922636423154e-03,2.085340523917e-01,1.575409549798e-02,7.435505582438e-01,9.196422640563e+03
1.348750000000e-02,5.305541344189e+02,2.402741738951e-02,5.923611601880e-03,1.944936571964e-03,2.083308148176e-01,1.590397466444e-02,7.435530217598e-01,9.495745123721e+03
1.349375000000e-02,5.329497744870e+02,2.396581763315e-02,6.010499302867e-03,1.967428435532e-03,2.081258224167e-01,1.605472838310e-02,7.435555921830e-01,9.805807557684e+03
