Pos,T,H2,O2,N2,H2O,Q
5.607812500000e-03,3.103047119664e+02,6.158055674789e-03,2.309014030144e-01,7.620049425613e-01,9.319665863264e-04,1.221702162130e-02
5.665625000000e-03,3.106478861819e+02,6.136222285985e-03,2.308875350672e-01,7.620072326940e-01,9.652332752212e-04,1.322521078031e-02
5.723437500000e-03,3.110019895082e+02,6.114171525858e-03,2.308730271811e-01,7.620092103351e-01,9.996640719782e-04,1.431712710521e-02
5.781250000000e-03,3.113673618316e+02,6.091902109648e-03,2.308578545883e-01,7.620108631983e-01,1.035297100683e-03,1.549971978693e-02
5.839062500000e-03,3.117443528633e+02,6.069412779293e-03,2.308419916733e-01,7.620121787335e-01,1.072171563002e-03,1.678051381241e-02
5.896875000000e-03,3.121333223639e+02,6.046702305040e-03,2.308254119505e-01,7.620131441280e-01,1.110327757096e-03,1.816765754248e-02
5.954687500000e-03,3.125346403745e+02,6.023769486946e-03,2.308080880408e-01,7.620137463094e-01,1.149807096762e-03,1.966997418347e-02
6.012500000000e-03,3.129486874425e+02,6.000613156577e-03,2.307899916485e-01,7.620139719489e-01,1.190652129367e-03,2.129701752311e-02
6.070312500000e-03,3.133758548546e+02,5.977232178581e-03,2.307710935375e-01,7.620138074648e-01,1.232906553951e-03,2.305913223742e-02
6.128125000000e-03,3.138165448639e+02,5.953625452445e-03,2.307513635084e-01,7.620132390272e-01,1.276615238049e-03,2.496751918313e-02
6.185937500000e-03,3.142711709204e+02,5.929791914193e-03,2.307307703741e-01,7.620122525632e-01,1.321824234189e-03,2.703430605891e-02
6.243750000000e-03,3.147401578994e+02,5.905730538156e-03,2.307092819369e-01,7.620108337632e-01,1.368580795445e-03,2.927262389342e-02
6.301562500000e-03,3.152239423291e+02,5.881440338777e-03,2.306868649642e-01,7.620089680874e-01,1.416933390124e-03,3.169668983638e-02
6.359375000000e-03,3.157229726164e+02,5.856920372436e-03,2.306634851658e-01,7.620066407739e-01,1.466931715495e-03,3.432189677397e-02
6.417187500000e-03,3.162377092704e+02,5.832169739321e-03,2.306391071696e-01,7.620038368472e-01,1.518626710440e-03,3.716491033317e-02
6.475000000000e-03,3.167686251236e+02,5.807187585319e-03,2.306136944990e-01,7.620005411280e-01,1.572070566951e-03,4.024377388622e-02
6.532812500000e-03,3.173162055487e+02,5.781973103941e-03,2.305872095495e-01,7.619967382433e-01,1.627316740376e-03,4.357802221858e-02
6.590625000000e-03,3.178809486733e+02,5.756525538272e-03,2.305596135665e-01,7.619924126389e-01,1.684419958301e-03,4.718880457879e-02
6.648437500000e-03,3.184633655876e+02,5.730844182942e-03,2.305308666224e-01,7.619875485911e-01,1.743436227976e-03,5.109901788973e-02
6.706250000000e-03,3.190639805490e+02,5.704928386124e-03,2.305009275950e-01,7.619821302214e-01,1.804422842172e-03,5.533345096658e-02
6.764062500000e-03,3.196833311793e+02,5.678777551545e-03,2.304697541462e-01,7.619761415109e-01,1.867438383361e-03,5.991894065852e-02
6.821875000000e-03,3.203219686557e+02,5.652391140520e-03,2.304373027008e-01,7.619695663168e-01,1.932542726118e-03,6.488454090934e-02
6.879687500000e-03,3.209804578938e+02,5.625768673991e-03,2.304035284268e-01,7.619623883896e-01,1.999797037613e-03,7.026170581734e-02
6.937500000000e-03,3.216593777228e+02,5.598909734584e-03,2.303683852157e-01,7.619545913919e-01,2.069263776107e-03,7.608448786731e-02
6.995312500000e-03,3.223593210513e+02,5.571813968659e-03,2.303318256640e-01,7.619461589185e-01,2.141006687308e-03,8.238975260885e-02
7.053125000000e-03,3.230808950221e+02,5.544481088379e-03,2.302938010554e-01,7.619370745171e-01,2.215090798499e-03,8.921741116525e-02
7.110937500000e-03,3.238247211576e+02,5.516910873762e-03,2.302542613445e-01,7.619273217119e-01,2.291582410306e-03,9.661067207753e-02
7.168750000000e-03,3.245914354916e+02,5.489103174735e-03,2.302131551405e-01,7.619168840266e-01,2.370549086004e-03,1.046163141201e-01
7.226562500000e-03,3.253816886892e+02,5.461057913170e-03,2.301704296935e-01,7.619057450109e-01,2.452059638243e-03,1.132849818675e-01
7.284375000000e-03,3.261961461526e+02,5.432775084911e-03,2.301260308812e-01,7.618938882666e-01,2.536184113077e-03,1.226715059500e-01
7.342187500000e-03,3.270354881114e+02,5.404254761775e-03,2.300799031970e-01,7.618812974761e-01,2.622993771216e-03,1.328352501061e-01
7.400000000000e-03,3.279004096973e+02,5.375497093389e-03,2.300319897339e-01,7.618679564136e-01,2.712561066293e-03,1.438404873310e-01
7.423437500000e-03,3.282585480868e+02,5.363770624656e-03,2.300120378161e-01,7.618623284952e-01,2.749682369322e-03,1.485590034000e-01
7.446875000000e-03,3.286210944032e+02,5.352005098132e-03,2.299917752623e-01,7.618565723705e-01,2.787278842685e-03,1.534330438449e-01
7.493750000000e-03,3.293595544871e+02,5.328357462616e-03,2.299503090025e-01,7.618446737287e-01,2.863907601968e-03,1.636663577234e-01
7.540625000000e-03,3.301161333765e+02,5.304554173018e-03,2.299075610197e-01,7.618322528095e-01,2.942484714483e-03,1.745826966457e-01
7.587500000000e-03,3.308912321929e+02,5.280595467180e-03,2.298634980768e-01,7.618193012921e-01,3.023051204217e-03,1.862276427120e-01
7.634375000000e-03,3.316852586013e+02,5.256481620452e-03,2.298180863163e-01,7.618058109699e-01,3.105648557684e-03,1.986498254803e-01
7.681250000000e-03,3.324986267999e+02,5.232212946302e-03,2.297712912596e-01,7.617917737644e-01,3.190318710195e-03,2.119011272449e-01
7.728125000000e-03,3.333317575032e+02,5.207789796916e-03,2.297230778082e-01,7.617771817386e-01,3.277104031145e-03,2.260369024122e-01
7.775000000000e-03,3.341850779184e+02,5.183212563760e-03,2.296734102440e-01,7.617620271113e-01,3.366047308296e-03,2.411162119768e-01
7.821875000000e-03,3.350590217146e+02,5.158481678134e-03,2.296222522312e-01,7.617463022711e-01,3.457191731060e-03,2.572020741835e-01
7.868750000000e-03,3.359540289850e+02,5.133597611700e-03,2.295695668188e-01,7.617299997923e-01,3.550580872757e-03,2.743617325390e-01
7.915625000000e-03,3.368705462010e+02,5.108560876979e-03,2.295153164434e-01,7.617131124489e-01,3.646258671854e-03,2.926669424306e-01
7.962500000000e-03,3.378090261598e+02,5.083372027823e-03,2.294594629329e-01,7.616956332313e-01,3.744269412186e-03,3.121942777051e-01
8.009375000000e-03,3.387699279225e+02,5.058031659865e-03,2.294019675113e-01,7.616775553612e-01,3.844657702134e-03,3.330254586678e-01
8.056250000000e-03,3.397537167451e+02,5.032540410927e-03,2.293427908035e-01,7.616588723085e-01,3.947468452802e-03,3.552477030779e-01
8.103125000000e-03,3.407608640012e+02,5.006898961407e-03,2.292818928417e-01,7.616395778077e-01,4.052746855149e-03,3.789541018385e-01
8.150000000000e-03,3.417918470953e+02,4.981108034622e-03,2.292192330718e-01,7.616196658745e-01,4.160538356137e-03,4.042440212201e-01
8.196875000000e-03,3.428471493683e+02,4.955168397123e-03,2.291547703612e-01,7.615991308226e-01,4.270888633859e-03,4.312235336001e-01
8.243750000000e-03,3.439272599935e+02,4.929080858971e-03,2.290884630072e-01,7.615779672816e-01,4.383843571696e-03,4.600058788665e-01
8.290625000000e-03,3.450326738637e+02,4.902846273971e-03,2.290202687460e-01,7.615561702139e-01,4.499449231500e-03,4.907119588053e-01
8.337500000000e-03,3.461638914695e+02,4.876465539871e-03,2.289501447626e-01,7.615337349325e-01,4.617751825835e-03,5.234708669883e-01
8.384375000000e-03,3.473214187678e+02,4.849939598515e-03,2.288780477021e-01,7.615106571187e-01,4.738797689305e-03,5.584204568801e-01
8.431250000000e-03,3.485057670411e+02,4.823269435949e-03,2.288039336811e-01,7.614869328399e-01,4.862633248977e-03,5.957079511186e-01
